respondent_id,timestamp,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30
76,2024-12-30 11:05:05,academia,13years,RDF1,shacl,weekly,sensor,4,undecided,100to1000,1m100m,pyshacl,notapplicable,"compatibility,ease,flexibility,docquality","uncleardocs,specific",yescreating,Frequently,Occasionally,notexpr,4,"functions,nodeexpressions,rules","rdf12,recursion","ontologies,manually",editor,no_answer,no_answer,no_answer,no_answer,part,"documentation,additional,interop",debugging
77,2024-12-30 14:12:53,academia,5plusyears,RDF1,shacl,rarely,"sensor,nondom",5,shacl,10to100,1to100k,topbraid,notapplicable,"integration,ease,community",uncleardocs,no,Frequently,Occasionally,notexpr,3,no_answer,no_answer,"manually,other",editor,10to100,no_answer,no_answer,no_answer,part,"documentation,performance","visual,quality"
78,2025-01-02 14:35:13,both,5plusyears,"RDF2,LPG",shacl,monthly,"biomed,geographic",4,shacl,100to1000,morethan100m,"pyshacl,apache,other",notapplicable,no_answer,uncleardocs,yesupdating,Frequently,Never,no_answer,no_answer,rules,rdf12,"ontologies,manually",no_answer,100to1000,10to100,50to100,100k1m,part,"documentation,performance","userfriendly,visual,quality,debugging"
79,2025-01-02 17:52:40,industry,35years,"RDF1,RDF2,LPG",shacl,weekly,government,4,shacl,10to100,1to100k,"topbraid,apache",notapplicable,"compatibility,ease,flexibility,capabilities",nomajor,yesauto,Frequently,Occasionally,notexpr,3,rules,"rdf12,propertygraphs","ontologies,manually",protege,100to1000,100to1000,100to1000,100k1m,all,"documentation,community",userfriendly
80,2025-01-04 11:29:07,industry,35years,RDF1,shacl,daily,nondom,3,shacl,10to100,100k1m,shaclengine,notapplicable,"compatibility,integration,advanced,flexibility,capabilities,community,docquality","specific,performance",other,Frequently,Occasionally,notexpr,2,"functions,rules",rdf12,"ontologies,manually",editor,1to10,10to100,10to50,no_answer,part,"performance,community","userfriendly,visual,quality"
81,2025-01-06 09:06:16,academia,5plusyears,RDF1,shacl,daily,cultural,5,shacl,1to10,1to100k,"pyshacl,apache,corese",notapplicable,"compatibility,integration,ease,flexibility,capabilities,community,performance",nomajor,yescreating,Frequently,Occasionally,notexpr,1,"functions,nodeexpressions",no_answer,"ontologies,instancedata,manually",editor,1to10,1to10,1to10,morethan100m,part,other,"visual,quality,debugging"
82,2025-01-06 09:57:51,academia,35years,"RDF1,RDF2",shacl,weekly,"government,sensor",5,shacl,10to100,1to100k,"topbraid,shacljs",notapplicable,"compatibility,integration,advanced,ease,flexibility,capabilities,community,comprehensivedocs,docquality","specific,performance",no,Always,Frequently,notexpr,2,"functions,rules","rdf12,recursion,propertygraphs",manually,editor,1to10,1to10,10to50,1to100k,part,"documentation,performance,additional,interop,community","userfriendly,visual,quality,debugging"
83,2025-01-06 15:43:16,academia,5plusyears,RDF1,"shacl,shex",weekly,"biomed,government",5,shex,morethan1000,1to100k,apache,"pyshex,shexjs,shexs,apacheshex","compatibility,advanced,flexibility,capabilities","specific,performance",no,Frequently,Occasionally,notexpr,2,no_answer,recursion,manually,editor,10to100,morethan1000,50to100,1to100k,all,additional,"userfriendly,quality"
84,2025-01-06 18:35:55,academia,13years,"RDF1,RDF2",shacl,never,government,4,undecided,10to100,1to100k,notapplicable,notapplicable,no_answer,nomajor,no,Rarely,Rarely,no_answer,no_answer,no_answer,no_answer,"ontologies,manually",no_answer,1to10,10to100,no_answer,no_answer,part,documentation,no_answer
85,2025-01-07 11:03:49,industry,5plusyears,"RDF1,RDF2","shacl,shex",weekly,software,4,shacl,morethan1000,1m100m,"pyshacl,apache,rdf4j","pyshex,apacheshex","compatibility,integration,capabilities","nomajor,specific",yescreating,Always,Occasionally,notexpr,3,no_answer,"rdf12,recursion",ontologies,other,100to1000,100to1000,morethan1000,1m100m,all,"additional,community","userfriendly,quality"
86,2025-01-07 13:55:57,academia,13years,RDF1,shacl,weekly,sensor,2,shacl,100to1000,100k1m,pyshacl,notapplicable,"compatibility,ease,capabilities,performance",specific,yescreating,Frequently,Rarely,notexpr,3,nodeexpressions,no_answer,manually,editor,10to100,100to1000,100to1000,100k1m,all,"interop,community","userfriendly,visual,debugging"
87,2025-01-09 09:57:11,both,5plusyears,RDF1,"shacl,shex",daily,"finance,government,sensor",5,shacl,100to1000,1to100k,"topbraid,pyshacl,apache,shacljs,rdfvalidateshacl","pyshex,shexvalidator,apacheshex","compatibility,integration,advanced,ease,flexibility,capabilities,community,comprehensivedocs,docquality,performance",specific,yescreating,Always,Frequently,notexpr,3,"functions,rules","recursion,other","ontologies,instancedata,manually",shaclplay,10to100,10to100,10to50,1to100k,all,"performance,additional,community",visual
88,2025-01-09 10:06:05,industry,13years,RDF1,shacl,monthly,sensor,4,shacl,10to100,1m100m,"pyshacl,apache",notapplicable,"compatibility,capabilities","uncleardocs,specific,performance",yesupdating,Frequently,Occasionally,notexpr,3,"functions,rules",recursion,"ontologies,instancedata,manually",shaclplay,100to1000,100to1000,10to50,1m100m,part,"documentation,performance","userfriendly,visual,quality,debugging"
89,2025-01-09 15:55:12,academia,13years,"RDF1,RDF2,LPG",shacl,rarely,cultural,4,undecided,10to100,100k1m,apache,notapplicable,"compatibility,flexibility,community",implementation,no,Frequently,Frequently,notexpr,2,no_answer,none,manually,editor,10to100,10to100,10to50,100k1m,part,"performance,community","visual,debugging"
90,2025-01-10 09:05:28,academia,35years,"RDF1,RDF2",shacl,daily,"finance,government,geographic",5,shacl,morethan1000,1to100k,topbraid,notapplicable,"compatibility,integration,advanced,ease,capabilities,community,comprehensivedocs,docquality","specific,performance",no,Frequently,Rarely,notexpr,2,"functions,nodeexpressions,expressionconstraints,rules","rdf12,recursion","ontologies,instancedata,manually",editor,100to1000,100to1000,10to50,1to100k,part,"performance,additional,community","userfriendly,visual,quality,debugging"
91,2025-01-21 01:52:11,academia,5plusyears,"RDF1,RDF2",shacl,rarely,government,5,undecided,10to100,100k1m,"pyshacl,apache",notapplicable,"compatibility,advanced,capabilities","uncleardocs,interoperability",no,Rarely,Rarely,easier,2,rules,"rdf12,recursion","ontologies,manually",protege,1to10,10to100,10to50,1to100k,part,"documentation,additional,interop","userfriendly,visual,quality,debugging"
92,2025-01-21 10:56:03,academia,35years,RDF1,shacl,weekly,biomed,5,both,1to10,1to100k,"topbraid,apache",notapplicable,"compatibility,flexibility","uncleardocs,specific",other,Frequently,no_answer,no_answer,1,no_answer,recursion,no_answer,no_answer,no_answer,no_answer,no_answer,no_answer,no_answer,"documentation,performance,additional,interop,community","userfriendly,visual,quality,debugging"
93,2025-01-26 01:05:43,academia,35years,"RDF1,LPG",shacl,weekly,biomed,4,shacl,10to100,1to100k,"topbraid,apache",notapplicable,"compatibility,advanced,flexibility","specific,performance,interoperability",yesauto,Occasionally,Frequently,notexpr,1,"expressionconstraints,rules","rdf12,propertygraphs",ontologies,other,100to1000,10to100,10to50,1to100k,all,"documentation,performance,interop","userfriendly,visual,quality"
94,2025-02-06 07:36:02,both,5plusyears,"RDF1,RDF2",shacl,monthly,"biomed,other",4,shacl,10to100,1m100m,"pyshacl,apache,rdf4j,shacljs,rdfvalidateshacl",notapplicable,"compatibility,advanced,flexibility,capabilities,docquality","performance,usability",yesupdating,Always,Frequently,notexpr,2,"functions,nodeexpressions,expressionconstraints","rdf12,recursion",manually,editor,10to100,10to100,10to50,100k1m,all,"performance,additional,community","userfriendly,quality,debugging"
